dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/740b4121ae4c2e7c483953a2f5c6a8b9-p_e.jpg,10000,/homedetails/678-W-Onondaga-St-Syracuse-NY-13204/188236406_zpid/,10,-76.162315,43.037624,FOR_SALE,188236406,2900.0,1,2.0,5198,USA,USD,,true,678 W Onondaga St,syracuse,ny,13204,10000.0,2024-03-12
,10349.856,0.0,171000.0,https://photos.zillowstatic.com/fp/47650d3b84aaf4927484fa3c6b1e4273-p_e.jpg,159900,/homedetails/200-Camp-Ave-Syracuse-NY-13207/31675484_zpid/,2,-76.15828,43.008205,FOR_SALE,31675484,2400.0,1,2.0,1716,USA,USD,sqft,true,200 Camp Ave,syracuse,ny,13207,159900.0,2024-03-12
,5279.472,0.0,155200.0,https://photos.zillowstatic.com/fp/540581f670c87571fdf65593aa1973fe-p_e.jpg,165000,/homedetails/172-Woodbine-Ave-Syracuse-NY-13206/31663135_zpid/,3,-76.11024,43.066536,FOR_SALE,31663135,1949.0,1,2.0,1212,USA,USD,sqft,true,172 Woodbine Ave,syracuse,ny,13206,165000.0,2024-03-12
,6708.24,0.0,0.0,https://photos.zillowstatic.com/fp/c137834983763fc3ba843cdcc1fce166-p_e.jpg,99900,/homedetails/125-Pierce-St-Syracuse-NY-13205/31675267_zpid/,3,-76.14854,43.011215,FOR_SALE,31675267,0.0,0,1.0,792,USA,USD,sqft,true,125 Pierce St,syracuse,ny,13205,99900.0,2024-03-12
,5823.972,0.0,0.0,https://photos.zillowstatic.com/fp/6066ab4d454b1c1cec2b19f8f91c3a89-p_e.jpg,70000,/homedetails/713-Tallman-St-Syracuse-NY-13204/31683147_zpid/,3,-76.15933,43.03596,FOR_SALE,31683147,0.0,1,1.0,1592,USA,USD,sqft,true,713 Tallman St,syracuse,ny,13204,70000.0,2024-03-12
,0.0,20100.0,331200.0,https://photos.zillowstatic.com/fp/611aa9caf03e79c20ea011f73522686c-p_e.jpg,320000,/homedetails/4387-Kasson-Rd-Syracuse-NY-13215/31760404_zpid/,3,-76.2602,42.978287,FOR_SALE,31760404,2999.0,1,2.0,1880,USA,USD,acres,true,4387 Kasson Rd,syracuse,ny,13215,340100.0,2024-03-12
,9901.188,0.0,0.0,https://photos.zillowstatic.com/fp/6262a51213a16331b795296b2f663e75-p_e.jpg,159900,/homedetails/112-Marion-Ave-Syracuse-NY-13219/31690999_zpid/,2,-76.240974,43.04815,FOR_SALE,31690999,0.0,0,1.0,900,USA,USD,sqft,true,112 Marion Ave,syracuse,ny,13219,159900.0,2024-03-12
,6560.136,0.0,0.0,https://photos.zillowstatic.com/fp/222c2025465f01bd3e0d5d6e8caa9068-p_e.jpg,245000,/homedetails/124-Hixson-Ave-Syracuse-NY-13206/31661088_zpid/,4,-76.12144,43.06478,FOR_SALE,31661088,0.0,1,2.0,2576,USA,USD,sqft,true,124 Hixson Ave,syracuse,ny,13206,245000.0,2024-03-12
,9147.6,0.0,423700.0,https://photos.zillowstatic.com/fp/145f2bda5e02a996f511cabeb67caac2-p_e.jpg,419900,/homedetails/200-Steven-Ter-Syracuse-NY-13219/98115967_zpid/,3,-76.221306,43.035027,FOR_SALE,98115967,2800.0,1,2.0,1820,USA,USD,sqft,true,200 Steven Ter,syracuse,ny,13219,419900.0,2024-03-12
,5719.428,0.0,0.0,https://photos.zillowstatic.com/fp/36c525cd5fdc44d2c731d8b95c38c4f0-p_e.jpg,164900,/homedetails/511-Montrose-Ave-Syracuse-NY-13219/31732885_zpid/,4,-76.196236,43.043804,FOR_SALE,31732885,0.0,0,2.0,1463,USA,USD,sqft,true,511 Montrose Ave,syracuse,ny,13219,164900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/8841d79e4c95636e629dd4f9d154c7c3-p_e.jpg,467000,/homedetails/1504-Park-St-Syracuse-NY-13208/31655781_zpid/,4,-76.158646,43.06917,FOR_SALE,31655781,0.0,1,3.0,3483,USA,USD,acres,true,1504 Park St,syracuse,ny,13208,467000.0,2024-03-12
,0.0,-4000.0,0.0,https://photos.zillowstatic.com/fp/a635243813b94e586954c078a3b227d7-p_e.jpg,1000,/homedetails/709-Valley-Dr-Syracuse-NY-13207/31675161_zpid/,3,-76.15643,43.009956,FOR_SALE,31675161,1882.0,1,1.0,1256,USA,USD,,true,709 Valley Dr,syracuse,ny,13207,-3000.0,2024-03-12
,0.0,-10000.0,0.0,https://photos.zillowstatic.com/fp/038e9645921194fc6cda33f5fea414f4-p_e.jpg,409900,/homedetails/4997-Velasko-Rd-Syracuse-NY-13215/31759876_zpid/,5,-76.18461,43.013443,FOR_SALE,31759876,0.0,39,4.0,2356,USA,USD,acres,true,4997 Velasko Rd,syracuse,ny,13215,399900.0,2024-03-12
,2204.136,0.0,0.0,https://photos.zillowstatic.com/fp/42deef4fdcbc53c230a002ef23c469c2-p_e.jpg,575000,/homedetails/5887-Aries-Way-Syracuse-NY-13209/98128929_zpid/,3,-76.25509,43.055965,FOR_SALE,98128929,0.0,4,3.0,2652,USA,USD,sqft,true,5887 Aries Way,syracuse,ny,13209,575000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/1e196059a665712a9433e7b41fec27d8-p_e.jpg,1000,/homedetails/106-Onondaga-Ave-Syracuse-NY-13204/31682583_zpid/,4,-76.165054,43.034523,FOR_SALE,31682583,2529.0,1,2.0,2722,USA,USD,,true,106 Onondaga Ave,syracuse,ny,13204,1000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/ae30d29ca8781ea69de110a0e8d06cb5-p_e.jpg,309000,/homedetails/5001-Phaeton-Ln-Syracuse-NY-13215/31758884_zpid/,4,-76.27169,43.0109,FOR_SALE,31758884,0.0,1,3.0,2208,USA,USD,acres,true,5001 Phaeton Ln,syracuse,ny,13215,309000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/17800acf38c119099e96eacc825d0f42-p_e.jpg,229900,/homedetails/4256-Fay-Rd-Syracuse-NY-13219/31757736_zpid/,3,-76.21856,43.02703,FOR_SALE,31757736,0.0,1,2.0,1793,USA,USD,acres,true,4256 Fay Rd,syracuse,ny,13219,229900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/1660cfd632860a1cca7728d6d8902afd-p_e.jpg,174900,/homedetails/104-Blueberry-Ln-Syracuse-NY-13219/31692096_zpid/,3,-76.2327,43.04131,FOR_SALE,31692096,0.0,6,2.0,1364,USA,USD,acres,true,104 Blueberry Ln,syracuse,ny,13219,174900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/b36c70b67782c59d08bf2e8414f7d276-p_e.jpg,229900,/homedetails/278-Ross-Park-Syracuse-NY-13208/31654793_zpid/,4,-76.14664,43.07738,FOR_SALE,31654793,0.0,1,4.0,2616,USA,USD,acres,true,278 Ross Park,syracuse,ny,13208,229900.0,2024-03-12
,5427.576,0.0,0.0,https://photos.zillowstatic.com/fp/92a453cff76baf190177692f63e4685d-p_e.jpg,185000,/homedetails/105-Eastman-Ave-Syracuse-NY-13207/188231023_zpid/,3,-76.159836,43.02162,FOR_SALE,188231023,0.0,1,3.0,2558,USA,USD,sqft,true,105 Eastman Ave,syracuse,ny,13207,185000.0,2024-03-12
,3846.348,0.0,151100.0,https://photos.zillowstatic.com/fp/d724498c3300c26269d6a3f522adfe7b-p_e.jpg,154900,/homedetails/126-Grove-St-Syracuse-NY-13207/31675143_zpid/,3,-76.156425,43.010574,FOR_SALE,31675143,1645.0,1,1.0,1480,USA,USD,sqft,true,126 Grove St,syracuse,ny,13207,154900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/708cbd6df11f666bf746f68aeacf34b5-p_e.jpg,469900,/homedetails/401-Sedgwick-Dr-Syracuse-NY-13203/31659172_zpid/,5,-76.1322,43.065426,FOR_SALE,31659172,0.0,1,4.0,2530,USA,USD,acres,true,401 Sedgwick Dr,syracuse,ny,13203,469900.0,2024-03-12
