dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,5805.0,0.0,0.0,https://photos.zillowstatic.com/fp/3e27836116c0bdafebdd66b9cb00c136-p_e.jpg,799888,/homedetails/243-N-16th-St-San-Jose-CA-95112/19709845_zpid/,2,-121.8782,37.346786,FOR_SALE,19709845,0.0,5,1.0,1033,USA,USD,sqft,true,243 N 16th St,san jose,ca,95112,799888.0,2024-03-12
,2614.0,0.0,1080100.0,https://photos.zillowstatic.com/fp/203b38a2de012f1489f17ff5319a1e4d-p_e.jpg,998500,/homedetails/4853-Rahway-Dr-San-Jose-CA-95111/19816878_zpid/,3,-121.809525,37.27146,FOR_SALE,19816878,3914.0,1,3.0,1678,USA,USD,sqft,true,4853 Rahway Dr,san jose,ca,95111,998500.0,2024-03-12
,6970.0,0.0,2382700.0,https://photos.zillowstatic.com/fp/35e3ccc5c9ec7190e417d4b5fa648ff5-p_e.jpg,2250000,/homedetails/1237-Collins-Ln-San-Jose-CA-95129/19649820_zpid/,4,-121.98981,37.30272,FOR_SALE,19649820,5200.0,5,3.0,1798,USA,USD,sqft,true,1237 Collins Ln,san jose,ca,95129,2250000.0,2024-03-12
,5663.0,0.0,1443500.0,https://photos.zillowstatic.com/fp/511d2fb0c909f1af8981008c7b24eb6d-p_e.jpg,1365000,/homedetails/5713-Lathrop-Dr-San-Jose-CA-95123/19828734_zpid/,4,-121.82071,37.248924,FOR_SALE,19828734,4149.0,0,2.0,1846,USA,USD,sqft,true,5713 Lathrop Dr,san jose,ca,95123,1365000.0,2024-03-12
,5663.0,0.0,1481200.0,https://photos.zillowstatic.com/fp/b4bdfe6d4d55f06dd47c0be42a1e2c99-p_e.jpg,1400000,/homedetails/5415-Century-Meadow-Ct-San-Jose-CA-95111/19809271_zpid/,4,-121.79591,37.26073,FOR_SALE,19809271,4500.0,0,3.0,2384,USA,USD,sqft,true,5415 Century Meadow Ct,san jose,ca,95111,1400000.0,2024-03-12
,5663.0,0.0,1720600.0,https://photos.zillowstatic.com/fp/33edb9c14c5cda5897865c8019ea3d8c-p_e.jpg,1625000,/homedetails/1149-Summertree-Ct-San-Jose-CA-95132/19774169_zpid/,4,-121.854744,37.39001,FOR_SALE,19774169,4500.0,0,2.0,2084,USA,USD,sqft,true,1149 Summertree Ct,san jose,ca,95132,1625000.0,2024-03-12
,6510.0,0.0,1705100.0,https://photos.zillowstatic.com/fp/af2c380cdd4be30ac35064168f618a88-p_e.jpg,1599000,/homedetails/5780-Herma-St-San-Jose-CA-95123/19828894_zpid/,4,-121.82364,37.246628,FOR_SALE,19828894,4435.0,1,2.0,2152,USA,USD,sqft,true,5780 Herma St,san jose,ca,95123,1599000.0,2024-03-12
,5663.0,0.0,1476900.0,https://photos.zillowstatic.com/fp/9271120960a9d6b8e3e1394b3f759a21-p_e.jpg,1399000,/homedetails/517-Los-Pinos-Way-San-Jose-CA-95123/19823002_zpid/,3,-121.81642,37.229534,FOR_SALE,19823002,3994.0,1,2.0,1488,USA,USD,sqft,true,517 Los Pinos Way,san jose,ca,95123,1399000.0,2024-03-12
,0.0,0.0,3001600.0,https://photos.zillowstatic.com/fp/40f2b88472a4e89a751af2440a5df0d9-p_e.jpg,2798000,/homedetails/254-Coronet-Dr-Los-Gatos-CA-95032/19746684_zpid/,4,-121.94044,37.240597,FOR_SALE,19746684,6217.0,1,3.0,2518,USA,USD,acres,true,254 Coronet Dr,san jose,ca,95032,2798000.0,2024-03-12
,6098.4,0.0,1499700.0,https://photos.zillowstatic.com/fp/f01e3ec54aaeeab5ea0ed8635b5f0499-p_e.jpg,1397000,/homedetails/5768-Chesbro-Ave-San-Jose-CA-95123/19818865_zpid/,4,-121.84239,37.246773,FOR_SALE,19818865,3949.0,1,2.0,1516,USA,USD,sqft,true,5768 Chesbro Ave,san jose,ca,95123,1397000.0,2024-03-12
