dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,703400.0,https://photos.zillowstatic.com/fp/abcf5b9555bca1974ba56c4e23868474-p_e.jpg,668500,/homedetails/1401-La-Terrace-Cir-San-Jose-CA-95123/19832032_zpid/,2,-121.86709,37.240677,FOR_SALE,19832032,2829.0,1,1.0,904,USA,USD,,true,1401 La Terrace Cir,san jose,ca,95123,668500.0,2024-03-11
,0.0,0.0,694000.0,https://photos.zillowstatic.com/fp/2746c19a8a77716820c79815d39e9987-p_e.jpg,650000,/homedetails/1876-Tradan-Dr-San-Jose-CA-95132/19563474_zpid/,2,-121.88427,37.40035,FOR_SALE,19563474,2781.0,1,2.0,988,USA,USD,,true,1876 Tradan Dr,san jose,ca,95132,650000.0,2024-03-11
,0.0,0.0,645700.0,https://photos.zillowstatic.com/fp/dd121cbea53447a0674249056c8888c2-p_e.jpg,598988,/homedetails/410-Auburn-Way-APT-33-San-Jose-CA-95129/19603005_zpid/,2,-121.981766,37.31946,FOR_SALE,19603005,2949.0,1,2.0,1099,USA,USD,,true,410 Auburn Way APT 33,san jose,ca,95129,598988.0,2024-03-11
,0.0,0.0,703400.0,https://photos.zillowstatic.com/fp/abcf5b9555bca1974ba56c4e23868474-p_e.jpg,668500,/homedetails/1401-La-Terrace-Cir-San-Jose-CA-95123/19832032_zpid/,2,-121.86709,37.240677,FOR_SALE,19832032,2829.0,1,1.0,904,USA,USD,,true,1401 La Terrace Cir,san jose,ca,95123,668500.0,2024-03-11
,0.0,0.0,694000.0,https://photos.zillowstatic.com/fp/2746c19a8a77716820c79815d39e9987-p_e.jpg,650000,/homedetails/1876-Tradan-Dr-San-Jose-CA-95132/19563474_zpid/,2,-121.88427,37.40035,FOR_SALE,19563474,2781.0,1,2.0,988,USA,USD,,true,1876 Tradan Dr,san jose,ca,95132,650000.0,2024-03-11
,0.0,0.0,645700.0,https://photos.zillowstatic.com/fp/dd121cbea53447a0674249056c8888c2-p_e.jpg,598988,/homedetails/410-Auburn-Way-APT-33-San-Jose-CA-95129/19603005_zpid/,2,-121.981766,37.31946,FOR_SALE,19603005,2949.0,1,2.0,1099,USA,USD,,true,410 Auburn Way APT 33,san jose,ca,95129,598988.0,2024-03-11
,535.788,0.0,222100.0,https://photos.zillowstatic.com/fp/df60c00f86b0e07631ada2f0b1e83e15-p_e.jpg,215000,/homedetails/108-W-Jefferson-St-APT-605-Syracuse-NY-13202/84099187_zpid/,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,syracuse,ny,13202,215000.0,2024-03-11
