dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,1001.88,-10000.0,258600.0,265000,2,-84.277,34.087513,FOR_SALE,14689312,1800.0,105,1.0,1000,USA,USD,sqft,true,4035 Whitehall Way,Alpharetta,GA,30004,255000.0,2024-03-13
,1019.304,-5000.0,402300.0,414900,1,-84.30264,34.0529,FOR_SALE,335695371,1999.0,126,2.0,1018,USA,USD,sqft,true,232 Britten Pass,Alpharetta,GA,30009,409900.0,2024-03-13
,1001.88,-10000.0,258600.0,265000,2,-84.277,34.087513,FOR_SALE,14689312,1800.0,105,1.0,1000,USA,USD,sqft,true,4035 Whitehall Way,Alpharetta,GA,30004,255000.0,2024-03-13
,1019.304,-5000.0,402300.0,414900,1,-84.30264,34.0529,FOR_SALE,335695371,1999.0,126,2.0,1018,USA,USD,sqft,true,232 Britten Pass,Alpharetta,GA,30009,409900.0,2024-03-13
,1001.88,-10000.0,258600.0,265000,2,-84.277,34.087513,FOR_SALE,14689312,1800.0,105,1.0,1000,USA,USD,sqft,true,4035 Whitehall Way,Alpharetta,GA,30004,255000.0,2024-03-13
,1019.304,-5000.0,402300.0,414900,1,-84.30264,34.0529,FOR_SALE,335695371,1999.0,126,2.0,1018,USA,USD,sqft,true,232 Britten Pass,Alpharetta,GA,30009,409900.0,2024-03-13
,1001.88,-10000.0,258600.0,265000,2,-84.277,34.087513,FOR_SALE,14689312,1800.0,105,1.0,1000,USA,USD,sqft,true,4035 Whitehall Way,Alpharetta,GA,30004,255000.0,2024-03-13
,1019.304,-5000.0,402300.0,414900,1,-84.30264,34.0529,FOR_SALE,335695371,1999.0,126,2.0,1018,USA,USD,sqft,true,232 Britten Pass,Alpharetta,GA,30009,409900.0,2024-03-13
