dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,522100.0,498000,2,-121.755646,37.29201,FOR_SALE,19798595,3345.0,1,2.0,1223,USA,USD,,true,5546 Cribari Cir,San Jose,CA,95135,498000.0,2024-03-13
,0.0,0.0,1336200.0,1388000,3,-121.92233,37.401215,FOR_SALE,19489530,4200.0,0,3.0,1637,USA,USD,,true,410 Milan Dr UNIT 108,San Jose,CA,95134,1388000.0,2024-03-13
,0.0,0.0,522100.0,498000,2,-121.755646,37.29201,FOR_SALE,19798595,3345.0,1,2.0,1223,USA,USD,,true,5546 Cribari Cir,San Jose,CA,95135,498000.0,2024-03-13
,0.0,0.0,1336200.0,1388000,3,-121.92233,37.401215,FOR_SALE,19489530,4200.0,0,3.0,1637,USA,USD,,true,410 Milan Dr UNIT 108,San Jose,CA,95134,1388000.0,2024-03-13
,0.0,0.0,522100.0,498000,2,-121.755646,37.29201,FOR_SALE,19798595,3345.0,1,2.0,1223,USA,USD,,true,5546 Cribari Cir,San Jose,CA,95135,498000.0,2024-03-13
,0.0,0.0,1336200.0,1388000,3,-121.92233,37.401215,FOR_SALE,19489530,4200.0,0,3.0,1637,USA,USD,,true,410 Milan Dr UNIT 108,San Jose,CA,95134,1388000.0,2024-03-13
,3702.6,0.0,0.0,169900,2,-76.13724,43.054825,FOR_SALE,31660353,0.0,0,2.0,1248,USA,USD,sqft,true,606 Lodi St,Syracuse,NY,13203,169900.0,2024-03-13
,535.788,0.0,221100.0,215000,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,Syracuse,NY,13202,215000.0,2024-03-13
