dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,3702.6,0.0,0.0,169900,2,-76.13724,43.054825,FOR_SALE,31660353,0.0,0,2.0,1248,USA,USD,sqft,true,606 Lodi St,Syracuse,NY,13203,169900.0,2024-03-13
,535.788,0.0,221100.0,215000,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,Syracuse,NY,13202,215000.0,2024-03-13
,3702.6,0.0,0.0,169900,2,-76.13724,43.054825,FOR_SALE,31660353,0.0,0,2.0,1248,USA,USD,sqft,true,606 Lodi St,Syracuse,NY,13203,169900.0,2024-03-13
,535.788,0.0,221100.0,215000,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,Syracuse,NY,13202,215000.0,2024-03-13
,3702.6,0.0,0.0,169900,2,-76.13724,43.054825,FOR_SALE,31660353,0.0,0,2.0,1248,USA,USD,sqft,true,606 Lodi St,Syracuse,NY,13203,169900.0,2024-03-13
,535.788,0.0,221100.0,215000,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,Syracuse,NY,13202,215000.0,2024-03-13
,3702.6,0.0,0.0,169900,2,-76.13724,43.054825,FOR_SALE,31660353,0.0,0,2.0,1248,USA,USD,sqft,true,606 Lodi St,Syracuse,NY,13203,169900.0,2024-03-13
,535.788,0.0,221100.0,215000,1,-76.1527,43.047176,FOR_SALE,84099187,1429.0,1,1.0,848,USA,USD,sqft,true,108 W Jefferson St APT 605,Syracuse,NY,13202,215000.0,2024-03-13
