dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,3823600.0,3995000,5,-84.2963,34.084553,FOR_SALE,14688105,21992.0,21,7.0,4511,USA,USD,acres,true,329 Canton St,Alpharetta,GA,30009,3995000.0,2024-03-13
,0.0,0.0,762500.0,739000,4,-84.2555,34.15814,FOR_SALE,60947616,4372.0,1,3.0,4296,USA,USD,acres,true,3795 Hamby Oaks Dr,Alpharetta,GA,30004,739000.0,2024-03-13
,0.0,0.0,645500.0,625000,3,-84.35062,34.082985,FOR_SALE,14684742,3699.0,1,4.0,3164,USA,USD,acres,true,410 Carybell Ln,Alpharetta,GA,30004,625000.0,2024-03-13
,0.0,0.0,1176400.0,1150000,5,-84.26811,34.0431,FOR_SALE,55015239,5558.0,7,5.0,4981,USA,USD,acres,true,1725 Ridge Oak Pl,Alpharetta,GA,30022,1150000.0,2024-03-13
,8585.676,0.0,0.0,849000,3,-84.20902,34.087116,FOR_SALE,14681374,0.0,1,3.0,3358,USA,USD,sqft,true,2810 Gleneagles Pointe,Alpharetta,GA,30005,849000.0,2024-03-13
,5166.216,0.0,575600.0,565000,4,-84.29004,34.089394,FOR_SALE,35945882,2600.0,1,3.0,2120,USA,USD,sqft,true,2305 Winthrope Way Dr,Alpharetta,GA,30009,565000.0,2024-03-13
,0.0,0.0,769000.0,775000,4,-84.28694,34.08706,FOR_SALE,14688634,2800.0,1,3.0,1753,USA,USD,acres,true,110 John Christopher Dr,Alpharetta,GA,30009,775000.0,2024-03-13
,0.0,0.0,1008600.0,999000,5,-84.225426,34.06634,FOR_SALE,249120183,5693.0,1,4.0,4211,USA,USD,acres,true,8060 Preservation Dr,Alpharetta,GA,30005,999000.0,2024-03-13
,0.0,-20000.0,649400.0,670000,4,-84.33541,34.0746,FOR_SALE,14685850,3399.0,132,3.0,2866,USA,USD,acres,true,120 North Blf,Alpharetta,GA,30004,650000.0,2024-03-13
,0.0,0.0,718400.0,695000,4,-84.2455,34.065792,FOR_SALE,14650213,3849.0,1,4.0,3802,USA,USD,acres,true,595 Summer Breeze Ct,Alpharetta,GA,30005,695000.0,2024-03-13
