dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,5805.0,0.0,0.0,799888,2,-121.8782,37.346786,FOR_SALE,19709845,0.0,6,1.0,1033,USA,USD,sqft,true,243 N 16th St,San Jose,CA,95112,799888.0,2024-03-13
,6098.4,0.0,1499700.0,1397000,4,-121.84239,37.246773,FOR_SALE,19818865,4500.0,5,2.0,1516,USA,USD,sqft,true,5768 Chesbro Ave,San Jose,CA,95123,1397000.0,2024-03-13
,0.0,0.0,1094100.0,999000,4,-121.811775,37.27618,FOR_SALE,19814319,3999.0,1,2.0,1572,USA,USD,acres,true,635 River View Dr,San Jose,CA,95111,999000.0,2024-03-13
,0.0,0.0,2501000.0,2350000,4,-121.918724,37.301167,FOR_SALE,19590788,5500.0,1,3.0,1996,USA,USD,acres,true,1801 Willow St,San Jose,CA,95125,2350000.0,2024-03-13
,6098.0,0.0,1210600.0,1149000,4,-121.84378,37.30717,FOR_SALE,19738388,4300.0,1,2.0,1484,USA,USD,sqft,true,714 Albanese Cir,San Jose,CA,95111,1149000.0,2024-03-13
,2614.0,0.0,1080100.0,998500,3,-121.809525,37.27146,FOR_SALE,19816878,3914.0,1,3.0,1678,USA,USD,sqft,true,4853 Rahway Dr,San Jose,CA,95111,998500.0,2024-03-13
,2614.0,0.0,1829500.0,1688000,3,-121.98581,37.31969,FOR_SALE,19603260,4200.0,1,3.0,1496,USA,USD,sqft,true,4716 Lago Vista Cir,San Jose,CA,95129,1688000.0,2024-03-13
,5663.0,0.0,1732300.0,1625000,4,-121.854744,37.39001,FOR_SALE,19774169,4500.0,1,2.0,2084,USA,USD,sqft,true,1149 Summertree Ct,San Jose,CA,95132,1625000.0,2024-03-13
,10032.0,0.0,1865100.0,1750000,4,-121.98437,37.297405,FOR_SALE,19610699,4999.0,1,2.0,1660,USA,USD,sqft,true,11731 Southwood Dr,Saratoga,CA,95070,1750000.0,2024-03-13
,0.0,0.0,3016400.0,2798000,4,-121.94044,37.240597,FOR_SALE,19746684,6294.0,1,3.0,2518,USA,USD,acres,true,254 Coronet Dr,Los Gatos,CA,95032,2798000.0,2024-03-13
,6970.0,0.0,1850200.0,1698888,3,-121.92816,37.270676,FOR_SALE,19671605,4498.0,1,2.0,1582,USA,USD,sqft,true,1951 Abinante Ln,San Jose,CA,95124,1698888.0,2024-03-13
,6534.0,0.0,1487800.0,1399000,4,-121.82366,37.247673,FOR_SALE,19828900,4174.0,1,2.0,1826,USA,USD,sqft,true,5756 Herma St,San Jose,CA,95123,1399000.0,2024-03-13
,5663.0,0.0,1483500.0,1399000,3,-121.81642,37.229534,FOR_SALE,19823002,3949.0,1,2.0,1488,USA,USD,sqft,true,517 Los Pinos Way,San Jose,CA,95123,1399000.0,2024-03-13
,8276.0,0.0,0.0,1350000,4,-121.84073,37.250027,FOR_SALE,19818838,4500.0,5,2.0,1512,USA,USD,sqft,true,605 Osage Ct,San Jose,CA,95123,1350000.0,2024-03-13
