dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,10.1,0.0,0.0,62486,,-76.059944,43.04324,FOR_SALE,344136346,0.0,1,0.0,,USA,USD,acres,true,0 Kinne St #3,East Syracuse,NY,13057,62486.0,2024-03-13
,10.1,0.0,0.0,62486,,-76.059944,43.04324,FOR_SALE,344136346,0.0,1,0.0,,USA,USD,acres,true,0 Kinne St #3,East Syracuse,NY,13057,62486.0,2024-03-13
,10.1,0.0,0.0,62486,,-76.059944,43.04324,FOR_SALE,344136346,0.0,1,0.0,,USA,USD,acres,true,0 Kinne St #3,East Syracuse,NY,13057,62486.0,2024-03-13
,10.1,0.0,0.0,62486,,-76.059944,43.04324,FOR_SALE,344136346,0.0,1,0.0,,USA,USD,acres,true,0 Kinne St #3,East Syracuse,NY,13057,62486.0,2024-03-13
